counts	number of items in equivalence class	isoforms in equivalence class
34	9	ENST00000524851,ENST00000526248,ENST00000527446,ENST00000528439,ENST00000528847,ENST00000530164,ENST00000530170,ENST00000531188,ENST00000534440
12	9	ENST00000525964,ENST00000526422,ENST00000532445,ENST00000534532,ENST00000685324,ENST00000688263,ENST00000688672,ENST00000689205,ENST00000690743
1	9	ENST00000525964,ENST00000527944,ENST00000534532,ENST00000534548,ENST00000688263,ENST00000688672,ENST00000689387,ENST00000690149,ENST00000691025
15	9	ENST00000525964,ENST00000533155,ENST00000534532,ENST00000534548,ENST00000685324,ENST00000688263,ENST00000688672,ENST00000689205,ENST00000690743
12	9	ENST00000525964,ENST00000534532,ENST00000534548,ENST00000685324,ENST00000687965,ENST00000688263,ENST00000688672,ENST00000689205,ENST00000690743
22	9	ENST00000525964,ENST00000534532,ENST00000534548,ENST00000685324,ENST00000688263,ENST00000688672,ENST00000689205,ENST00000689387,ENST00000690743
27	9	ENST00000525964,ENST00000534532,ENST00000534548,ENST00000685324,ENST00000688263,ENST00000688672,ENST00000689205,ENST00000690149,ENST00000690743
1	9	ENST00000527038,ENST00000531968,ENST00000532421,ENST00000532519,ENST00000543287,ENST00000612687,ENST00000614711,ENST00000617285,ENST00000652093
1	9	ENST00000527099,ENST00000679497,ENST00000679874,ENST00000679986,ENST00000680063,ENST00000680580,ENST00000681489,ENST00000681723,ENST00000681765
31	9	ENST00000528498,ENST00000528556,ENST00000530749,ENST00000532118,ENST00000533991,ENST00000645495,ENST00000645527,ENST00000646663,ENST00000647231
69	9	ENST00000528498,ENST00000528900,ENST00000530131,ENST00000530749,ENST00000544551,ENST00000645312,ENST00000645495,ENST00000646663,ENST00000647231
219	9	ENST00000528498,ENST00000528900,ENST00000530131,ENST00000530749,ENST00000544551,ENST00000645495,ENST00000645527,ENST00000646663,ENST00000647231
31	9	ENST00000528498,ENST00000530131,ENST00000530301,ENST00000530749,ENST00000544551,ENST00000645495,ENST00000645527,ENST00000646663,ENST00000647231
124	9	ENST00000528498,ENST00000530131,ENST00000530749,ENST00000534683,ENST00000544551,ENST00000645495,ENST00000645527,ENST00000646663,ENST00000647231
8	9	ENST00000528737,ENST00000529985,ENST00000674617,ENST00000675163,ENST00000675806,ENST00000676340,ENST00000676459,ENST00000682018,ENST00000684135
5	9	ENST00000529432,ENST00000529750,ENST00000534764,ENST00000632815,ENST00000633087,ENST00000633646,ENST00000635736,ENST00000638086,ENST00000638157
32	9	ENST00000530473,ENST00000532519,ENST00000534233,ENST00000543287,ENST00000612687,ENST00000614711,ENST00000617285,ENST00000621959,ENST00000652093
2	9	ENST00000532125,ENST00000533839,ENST00000685484,ENST00000685601,ENST00000685765,ENST00000686888,ENST00000688588,ENST00000689283,ENST00000692336
2	9	ENST00000649552,ENST00000679385,ENST00000679553,ENST00000680301,ENST00000680537,ENST00000680560,ENST00000680935,ENST00000681288,ENST00000681406
2	9	ENST00000674974,ENST00000675030,ENST00000675477,ENST00000675489,ENST00000675660,ENST00000675896,ENST00000675933,ENST00000676177,ENST00000676261
2	9	ENST00000679497,ENST00000679685,ENST00000680797,ENST00000680829,ENST00000680996,ENST00000681351,ENST00000681384,ENST00000681575,ENST00000681699
3	10	ENST00000003302,ENST00000535607,ENST00000537490,ENST00000537642,ENST00000537706,ENST00000538475,ENST00000540438,ENST00000544967,ENST00000545540,ENST00000545608
7	10	ENST00000005082,ENST00000343338,ENST00000354599,ENST00000399602,ENST00000429541,ENST00000438262,ENST00000526601,ENST00000528218,ENST00000528410,ENST00000620374
1036	10	ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000486690,ENST00000536528,ENST00000540430,ENST00000542179,ENST00000545215
1748	10	ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000478970,ENST00000486690,ENST00000540430,ENST00000542179,ENST00000543445,ENST00000545215
29	10	ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000478970,ENST00000495052,ENST00000539814,ENST00000540430,ENST00000542179,ENST00000543445
691	10	ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000478970,ENST00000495052,ENST00000540430,ENST00000542179,ENST00000543445,ENST00000545467
1259	10	ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000486690,ENST00000540430,ENST00000542179,ENST00000543445,ENST00000543695,ENST00000545215
390	10	ENST00000227157,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000536528,ENST00000539814,ENST00000541097,ENST00000543695,ENST00000545215,ENST00000545467
50	10	ENST00000227266,ENST00000527018,ENST00000676612,ENST00000677661,ENST00000677802,ENST00000678464,ENST00000678520,ENST00000678554,ENST00000678915,ENST00000679224
120	10	ENST00000227266,ENST00000527018,ENST00000676612,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678520,ENST00000678554,ENST00000678915,ENST00000679224
223	10	ENST00000227266,ENST00000676612,ENST00000677208,ENST00000677661,ENST00000677802,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678520,ENST00000679224
53	10	ENST00000227266,ENST00000676612,ENST00000677208,ENST00000677661,ENST00000677802,ENST00000678395,ENST00000678506,ENST00000678520,ENST00000678915,ENST00000679224
1210	10	ENST00000227378,ENST00000453788,ENST00000525463,ENST00000525624,ENST00000527387,ENST00000528292,ENST00000532182,ENST00000532636,ENST00000534567,ENST00000534624
307	10	ENST00000227378,ENST00000453788,ENST00000525463,ENST00000525624,ENST00000527387,ENST00000528292,ENST00000532636,ENST00000534319,ENST00000534567,ENST00000534624
9	10	ENST00000227503,ENST00000334944,ENST00000377387,ENST00000377390,ENST00000377394,ENST00000413725,ENST00000433274,ENST00000443908,ENST00000448404,ENST00000681407
58	10	ENST00000227503,ENST00000334944,ENST00000377387,ENST00000377390,ENST00000377394,ENST00000413951,ENST00000432725,ENST00000433274,ENST00000448404,ENST00000681407
345	10	ENST00000227503,ENST00000334944,ENST00000377387,ENST00000377390,ENST00000377394,ENST00000433274,ENST00000443908,ENST00000448404,ENST00000486867,ENST00000681407
27	10	ENST00000227618,ENST00000307198,ENST00000427369,ENST00000535234,ENST00000538393,ENST00000542531,ENST00000543587,ENST00000544409,ENST00000545680,ENST00000545944
92	10	ENST00000227880,ENST00000536491,ENST00000536784,ENST00000537307,ENST00000538739,ENST00000541505,ENST00000679573,ENST00000681275,ENST00000681882,ENST00000681951
9	10	ENST00000236671,ENST00000367196,ENST00000427721,ENST00000429746,ENST00000433655,ENST00000438213,ENST00000636571,ENST00000636843,ENST00000637815,ENST00000678991
53	10	ENST00000236671,ENST00000367196,ENST00000429746,ENST00000433655,ENST00000636571,ENST00000636843,ENST00000637387,ENST00000637815,ENST00000637915,ENST00000678991
44	10	ENST00000236671,ENST00000433655,ENST00000438213,ENST00000636397,ENST00000636571,ENST00000636615,ENST00000636843,ENST00000637387,ENST00000637815,ENST00000637915
5	10	ENST00000236671,ENST00000433655,ENST00000438213,ENST00000636397,ENST00000636571,ENST00000636615,ENST00000636843,ENST00000637387,ENST00000637815,ENST00000678991
29	10	ENST00000251871,ENST00000533133,ENST00000638294,ENST00000638767,ENST00000639189,ENST00000639523,ENST00000639596,ENST00000639724,ENST00000640027,ENST00000640521
13	10	ENST00000251871,ENST00000533133,ENST00000638487,ENST00000638767,ENST00000638790,ENST00000639189,ENST00000639523,ENST00000640027,ENST00000640077,ENST00000640521
7	10	ENST00000251871,ENST00000533133,ENST00000638487,ENST00000638767,ENST00000639189,ENST00000639523,ENST00000639596,ENST00000639724,ENST00000640027,ENST00000640077
17	10	ENST00000251871,ENST00000533133,ENST00000638487,ENST00000638767,ENST00000639523,ENST00000639724,ENST00000640027,ENST00000640077,ENST00000640451,ENST00000640473
12	10	ENST00000253925,ENST00000389547,ENST00000526262,ENST00000528750,ENST00000530390,ENST00000530798,ENST00000532504,ENST00000533894,ENST00000644155,ENST00000648755
6	10	ENST00000253925,ENST00000389547,ENST00000526262,ENST00000528750,ENST00000530390,ENST00000530798,ENST00000532504,ENST00000638133,ENST00000644155,ENST00000648755
7	10	ENST00000255078,ENST00000539224,ENST00000674955,ENST00000675118,ENST00000675119,ENST00000675305,ENST00000675464,ENST00000675615,ENST00000675683,ENST00000676228
1	10	ENST00000256190,ENST00000533770,ENST00000675281,ENST00000676324,ENST00000687210,ENST00000689128,ENST00000689258,ENST00000689940,ENST00000692716,ENST00000693022
1	10	ENST00000256190,ENST00000675281,ENST00000676324,ENST00000676387,ENST00000688344,ENST00000689128,ENST00000689342,ENST00000689940,ENST00000690944,ENST00000692716
1	10	ENST00000256194,ENST00000524685,ENST00000525119,ENST00000527546,ENST00000528931,ENST00000532179,ENST00000533389,ENST00000646065,ENST00000675839,ENST00000683283
28	10	ENST00000256196,ENST00000414023,ENST00000526063,ENST00000529237,ENST00000531421,ENST00000531807,ENST00000532814,ENST00000532950,ENST00000534746,ENST00000537760
21	10	ENST00000256997,ENST00000527256,ENST00000529444,ENST00000533929,ENST00000672073,ENST00000672075,ENST00000672636,ENST00000672787,ENST00000673511,ENST00000673604
1	10	ENST00000256997,ENST00000527256,ENST00000529444,ENST00000616973,ENST00000672073,ENST00000672075,ENST00000672636,ENST00000672787,ENST00000673511,ENST00000673604
19	10	ENST00000260049,ENST00000337131,ENST00000343898,ENST00000393703,ENST00000393705,ENST00000393707,ENST00000404792,ENST00000497194,ENST00000534583,ENST00000620017
22	10	ENST00000260049,ENST00000337131,ENST00000343898,ENST00000393703,ENST00000393705,ENST00000404792,ENST00000497194,ENST00000531053,ENST00000534583,ENST00000620017
23	10	ENST00000260054,ENST00000455220,ENST00000525503,ENST00000529073,ENST00000529312,ENST00000529611,ENST00000529689,ENST00000529745,ENST00000529856,ENST00000533761
8	10	ENST00000260054,ENST00000455220,ENST00000525503,ENST00000529073,ENST00000529312,ENST00000529611,ENST00000529689,ENST00000529745,ENST00000529856,ENST00000534753
2	10	ENST00000260054,ENST00000525503,ENST00000526265,ENST00000527025,ENST00000528149,ENST00000529611,ENST00000529689,ENST00000529745,ENST00000529856,ENST00000534753
1	10	ENST00000260056,ENST00000524635,ENST00000525117,ENST00000527633,ENST00000531021,ENST00000532548,ENST00000533014,ENST00000533486,ENST00000534301,ENST00000612684
1	10	ENST00000260056,ENST00000526205,ENST00000527633,ENST00000531021,ENST00000532548,ENST00000533486,ENST00000534103,ENST00000534141,ENST00000534301,ENST00000612684
89	10	ENST00000263398,ENST00000278385,ENST00000279452,ENST00000352818,ENST00000415148,ENST00000425428,ENST00000428726,ENST00000433892,ENST00000434472,ENST00000526669
166	10	ENST00000263398,ENST00000278385,ENST00000279452,ENST00000415148,ENST00000425428,ENST00000428726,ENST00000433892,ENST00000434472,ENST00000442151,ENST00000525688
24	10	ENST00000263398,ENST00000278386,ENST00000352818,ENST00000415148,ENST00000425428,ENST00000428726,ENST00000433892,ENST00000434472,ENST00000525469,ENST00000526669
18	10	ENST00000263398,ENST00000278386,ENST00000415148,ENST00000425428,ENST00000428726,ENST00000433892,ENST00000434472,ENST00000525211,ENST00000526025,ENST00000526669
8	10	ENST00000263574,ENST00000278756,ENST00000338167,ENST00000345598,ENST00000528499,ENST00000530132,ENST00000533195,ENST00000533713,ENST00000534582,ENST00000650012
1	10	ENST00000263574,ENST00000338167,ENST00000345598,ENST00000528499,ENST00000530132,ENST00000533195,ENST00000533616,ENST00000533713,ENST00000534582,ENST00000650012
1	10	ENST00000263578,ENST00000532125,ENST00000533839,ENST00000686242,ENST00000686888,ENST00000689283,ENST00000689477,ENST00000689765,ENST00000690512,ENST00000692336
230	10	ENST00000263645,ENST00000381036,ENST00000464784,ENST00000475945,ENST00000481687,ENST00000492252,ENST00000492627,ENST00000526072,ENST00000527343,ENST00000533417
32	10	ENST00000265636,ENST00000265637,ENST00000393800,ENST00000393801,ENST00000524845,ENST00000524904,ENST00000526593,ENST00000527403,ENST00000534190,ENST00000534534
46	10	ENST00000265636,ENST00000265637,ENST00000393800,ENST00000393801,ENST00000524845,ENST00000524904,ENST00000527403,ENST00000529344,ENST00000529710,ENST00000531244
3	10	ENST00000265636,ENST00000265637,ENST00000393800,ENST00000393801,ENST00000524845,ENST00000524904,ENST00000527403,ENST00000529710,ENST00000529907,ENST00000531244
211	10	ENST00000265636,ENST00000265637,ENST00000393800,ENST00000393801,ENST00000524845,ENST00000524904,ENST00000527403,ENST00000529710,ENST00000534190,ENST00000534534
15	10	ENST00000265636,ENST00000393800,ENST00000393801,ENST00000524845,ENST00000524904,ENST00000525421,ENST00000527403,ENST00000529710,ENST00000534190,ENST00000534534
1	10	ENST00000265636,ENST00000393800,ENST00000393801,ENST00000524845,ENST00000524904,ENST00000527403,ENST00000528635,ENST00000529344,ENST00000529710,ENST00000533127
1	10	ENST00000265636,ENST00000393800,ENST00000393801,ENST00000524845,ENST00000524904,ENST00000528635,ENST00000529344,ENST00000529710,ENST00000533127,ENST00000534534
19	10	ENST00000265838,ENST00000299355,ENST00000528370,ENST00000531813,ENST00000672008,ENST00000672031,ENST00000672284,ENST00000672354,ENST00000672580,ENST00000673531
23	10	ENST00000265965,ENST00000524716,ENST00000525422,ENST00000527494,ENST00000528200,ENST00000529728,ENST00000530613,ENST00000530925,ENST00000532265,ENST00000532389
20	10	ENST00000265965,ENST00000525422,ENST00000527494,ENST00000528200,ENST00000529151,ENST00000529728,ENST00000530613,ENST00000532265,ENST00000532389,ENST00000532546
15	10	ENST00000265965,ENST00000525422,ENST00000527494,ENST00000528200,ENST00000529151,ENST00000529728,ENST00000530613,ENST00000532265,ENST00000532546,ENST00000533241
7	10	ENST00000270176,ENST00000301873,ENST00000420247,ENST00000524944,ENST00000525364,ENST00000526825,ENST00000528545,ENST00000530866,ENST00000533862,ENST00000689505
136	10	ENST00000278243,ENST00000300730,ENST00000396986,ENST00000396991,ENST00000396993,ENST00000477358,ENST00000493547,ENST00000496834,ENST00000528216,ENST00000532523
1	10	ENST00000278243,ENST00000300730,ENST00000396986,ENST00000459679,ENST00000463452,ENST00000464261,ENST00000464906,ENST00000469307,ENST00000493547,ENST00000496834
23	10	ENST00000278302,ENST00000354852,ENST00000380097,ENST00000380107,ENST00000424369,ENST00000445329,ENST00000506134,ENST00000507320,ENST00000515022,ENST00000621176
1	10	ENST00000278385,ENST00000415148,ENST00000428726,ENST00000433892,ENST00000525685,ENST00000526553,ENST00000527889,ENST00000528672,ENST00000531110,ENST00000533222
42	10	ENST00000278422,ENST00000378312,ENST00000524972,ENST00000525035,ENST00000528110,ENST00000529403,ENST00000530114,ENST00000533602,ENST00000673781,ENST00000674116
13	10	ENST00000278460,ENST00000378615,ENST00000378618,ENST00000395460,ENST00000525279,ENST00000525895,ENST00000526424,ENST00000527667,ENST00000528488,ENST00000532633
2	10	ENST00000278460,ENST00000378615,ENST00000378618,ENST00000395460,ENST00000525279,ENST00000525895,ENST00000526827,ENST00000527667,ENST00000527784,ENST00000528488
4054	10	ENST00000278572,ENST00000422465,ENST00000524851,ENST00000525933,ENST00000526248,ENST00000526608,ENST00000527446,ENST00000530721,ENST00000531188,ENST00000532872
1405	10	ENST00000278572,ENST00000422465,ENST00000524851,ENST00000525933,ENST00000526608,ENST00000527446,ENST00000528847,ENST00000530721,ENST00000531188,ENST00000532872
8	10	ENST00000278572,ENST00000526608,ENST00000527273,ENST00000527446,ENST00000528439,ENST00000530164,ENST00000530721,ENST00000531188,ENST00000532872,ENST00000534440
3	10	ENST00000278826,ENST00000381787,ENST00000507563,ENST00000542946,ENST00000543594,ENST00000686820,ENST00000688279,ENST00000689882,ENST00000692219,ENST00000693557
1	10	ENST00000278826,ENST00000451389,ENST00000507563,ENST00000542946,ENST00000685597,ENST00000688279,ENST00000689076,ENST00000692667,ENST00000692785,ENST00000693557
3	10	ENST00000278826,ENST00000451389,ENST00000542946,ENST00000543594,ENST00000685597,ENST00000689076,ENST00000691720,ENST00000692667,ENST00000692785,ENST00000693557
3	10	ENST00000278903,ENST00000524723,ENST00000527131,ENST00000527235,ENST00000527520,ENST00000527842,ENST00000531636,ENST00000534546,ENST00000618552,ENST00000620753
1	10	ENST00000278903,ENST00000524723,ENST00000527235,ENST00000527842,ENST00000529812,ENST00000531636,ENST00000534546,ENST00000615917,ENST00000618552,ENST00000620753
46	10	ENST00000278916,ENST00000427383,ENST00000428830,ENST00000438015,ENST00000524737,ENST00000527013,ENST00000532449,ENST00000532669,ENST00000534070,ENST00000544373
1	10	ENST00000278916,ENST00000428830,ENST00000438015,ENST00000524737,ENST00000525396,ENST00000526937,ENST00000527013,ENST00000531607,ENST00000532449,ENST00000534070
23	10	ENST00000278916,ENST00000428830,ENST00000438015,ENST00000524737,ENST00000525396,ENST00000526937,ENST00000527013,ENST00000532449,ENST00000534070,ENST00000534685
1	10	ENST00000279968,ENST00000524373,ENST00000526175,ENST00000527271,ENST00000527766,ENST00000528724,ENST00000529583,ENST00000531909,ENST00000532407,ENST00000682305
11	10	ENST00000279968,ENST00000524373,ENST00000526175,ENST00000527271,ENST00000527766,ENST00000529583,ENST00000531909,ENST00000532407,ENST00000533273,ENST00000682305
18	10	ENST00000279968,ENST00000526175,ENST00000527766,ENST00000528724,ENST00000529583,ENST00000529609,ENST00000531909,ENST00000532156,ENST00000532407,ENST00000682305
4	10	ENST00000280346,ENST00000393051,ENST00000679368,ENST00000679815,ENST00000680010,ENST00000680331,ENST00000681316,ENST00000681328,ENST00000681339,ENST00000681638
23	10	ENST00000280346,ENST00000533297,ENST00000679614,ENST00000679878,ENST00000680331,ENST00000680411,ENST00000681316,ENST00000681328,ENST00000681339,ENST00000681638
1	10	ENST00000289488,ENST00000324866,ENST00000427369,ENST00000439209,ENST00000535883,ENST00000542846,ENST00000544409,ENST00000642478,ENST00000642648,ENST00000647530
102	10	ENST00000294053,ENST00000340729,ENST00000437826,ENST00000535477,ENST00000535990,ENST00000538021,ENST00000538039,ENST00000543042,ENST00000642187,ENST00000642288
11	10	ENST00000294053,ENST00000340729,ENST00000437826,ENST00000535477,ENST00000535990,ENST00000538039,ENST00000543042,ENST00000544683,ENST00000642187,ENST00000642288
9	10	ENST00000294053,ENST00000437826,ENST00000535477,ENST00000535990,ENST00000538039,ENST00000539148,ENST00000543042,ENST00000544683,ENST00000642288,ENST00000646117
9	10	ENST00000294072,ENST00000426130,ENST00000447532,ENST00000534084,ENST00000536915,ENST00000537364,ENST00000540139,ENST00000540755,ENST00000542361,ENST00000546151
1	10	ENST00000294072,ENST00000447532,ENST00000537364,ENST00000537680,ENST00000539890,ENST00000540755,ENST00000542361,ENST00000544118,ENST00000545361,ENST00000546151
6	10	ENST00000294187,ENST00000398802,ENST00000524438,ENST00000526259,ENST00000526432,ENST00000526898,ENST00000527174,ENST00000529962,ENST00000530936,ENST00000533629
3	10	ENST00000294187,ENST00000398802,ENST00000524438,ENST00000526259,ENST00000526898,ENST00000527174,ENST00000529962,ENST00000530936,ENST00000533629,ENST00000534028
1	10	ENST00000298838,ENST00000524509,ENST00000525725,ENST00000528201,ENST00000528462,ENST00000530405,ENST00000530513,ENST00000531226,ENST00000532457,ENST00000539589
13	10	ENST00000298852,ENST00000524447,ENST00000526993,ENST00000527906,ENST00000530651,ENST00000530887,ENST00000530912,ENST00000531051,ENST00000602866,ENST00000619920
1	10	ENST00000299402,ENST00000311051,ENST00000529519,ENST00000530885,ENST00000608394,ENST00000608645,ENST00000608655,ENST00000608704,ENST00000609331,ENST00000609360
13	10	ENST00000299427,ENST00000531754,ENST00000533371,ENST00000642892,ENST00000644218,ENST00000644683,ENST00000644810,ENST00000644933,ENST00000645620,ENST00000647209
15	10	ENST00000299427,ENST00000533371,ENST00000642892,ENST00000643516,ENST00000644218,ENST00000644683,ENST00000644933,ENST00000645620,ENST00000647209,ENST00000682424
5	10	ENST00000299427,ENST00000533371,ENST00000642892,ENST00000643516,ENST00000644218,ENST00000644810,ENST00000645285,ENST00000645620,ENST00000647152,ENST00000682424
2	10	ENST00000299492,ENST00000524548,ENST00000525597,ENST00000527790,ENST00000528883,ENST00000529575,ENST00000533792,ENST00000650027,ENST00000684123,ENST00000684215
30	10	ENST00000299576,ENST00000309357,ENST00000309377,ENST00000396648,ENST00000524577,ENST00000525005,ENST00000529876,ENST00000529942,ENST00000534147,ENST00000534506
2	10	ENST00000299606,ENST00000396602,ENST00000396604,ENST00000412390,ENST00000438144,ENST00000526657,ENST00000530463,ENST00000531943,ENST00000532577,ENST00000534265
1	10	ENST00000299882,ENST00000536856,ENST00000538770,ENST00000538955,ENST00000539732,ENST00000540540,ENST00000544476,ENST00000544634,ENST00000545579,ENST00000645981
1	10	ENST00000300187,ENST00000395001,ENST00000395005,ENST00000525397,ENST00000526375,ENST00000527841,ENST00000530662,ENST00000531783,ENST00000531949,ENST00000534688
21	10	ENST00000300737,ENST00000525055,ENST00000525403,ENST00000526596,ENST00000527651,ENST00000528656,ENST00000530554,ENST00000532610,ENST00000532919,ENST00000616714
65	10	ENST00000301761,ENST00000359614,ENST00000534878,ENST00000536250,ENST00000537782,ENST00000538594,ENST00000541135,ENST00000542794,ENST00000543044,ENST00000544801
129	10	ENST00000301764,ENST00000535283,ENST00000539426,ENST00000540166,ENST00000679588,ENST00000680367,ENST00000680602,ENST00000681188,ENST00000681803,ENST00000681935
5	10	ENST00000304363,ENST00000323599,ENST00000401547,ENST00000402185,ENST00000402789,ENST00000405515,ENST00000427752,ENST00000441488,ENST00000453170,ENST00000615954
11	10	ENST00000304363,ENST00000401547,ENST00000402789,ENST00000405515,ENST00000427752,ENST00000434573,ENST00000441488,ENST00000453170,ENST00000458496,ENST00000615954
14	10	ENST00000304716,ENST00000393427,ENST00000525034,ENST00000525409,ENST00000526164,ENST00000526415,ENST00000527134,ENST00000532481,ENST00000533193,ENST00000630098
12	10	ENST00000308162,ENST00000524553,ENST00000525451,ENST00000526975,ENST00000530413,ENST00000531407,ENST00000531413,ENST00000532134,ENST00000534769,ENST00000534784
299	10	ENST00000308162,ENST00000524553,ENST00000525451,ENST00000527344,ENST00000530413,ENST00000531407,ENST00000531413,ENST00000532134,ENST00000534769,ENST00000534784
1	10	ENST00000308219,ENST00000382179,ENST00000526678,ENST00000528710,ENST00000528841,ENST00000529433,ENST00000529951,ENST00000531197,ENST00000533606,ENST00000544817
8	10	ENST00000308639,ENST00000406246,ENST00000525658,ENST00000525693,ENST00000526283,ENST00000527909,ENST00000529389,ENST00000532999,ENST00000533546,ENST00000612991
3	10	ENST00000308639,ENST00000406246,ENST00000525658,ENST00000527909,ENST00000529389,ENST00000531238,ENST00000532879,ENST00000532999,ENST00000533546,ENST00000612991
1	10	ENST00000310325,ENST00000524994,ENST00000526010,ENST00000677587,ENST00000677896,ENST00000678154,ENST00000678305,ENST00000678471,ENST00000679011,ENST00000679160
2	10	ENST00000310571,ENST00000376384,ENST00000504441,ENST00000535604,ENST00000536003,ENST00000541951,ENST00000542293,ENST00000543814,ENST00000544552,ENST00000544909
9	10	ENST00000310571,ENST00000376384,ENST00000504441,ENST00000535604,ENST00000536003,ENST00000541951,ENST00000543814,ENST00000544552,ENST00000544909,ENST00000546039
7	10	ENST00000310614,ENST00000314282,ENST00000398483,ENST00000411840,ENST00000508278,ENST00000535277,ENST00000540162,ENST00000543058,ENST00000544140,ENST00000544819
121	10	ENST00000311027,ENST00000342922,ENST00000349238,ENST00000395336,ENST00000395344,ENST00000402192,ENST00000402799,ENST00000405573,ENST00000406482,ENST00000407859
54	10	ENST00000311027,ENST00000342922,ENST00000349238,ENST00000395336,ENST00000395344,ENST00000402192,ENST00000402799,ENST00000406482,ENST00000407859,ENST00000428807
2	10	ENST00000311027,ENST00000342922,ENST00000349238,ENST00000395336,ENST00000395344,ENST00000402192,ENST00000402799,ENST00000406482,ENST00000407859,ENST00000444117
29	10	ENST00000311027,ENST00000342922,ENST00000349238,ENST00000395336,ENST00000395344,ENST00000402192,ENST00000402799,ENST00000406482,ENST00000407859,ENST00000634938
1095	10	ENST00000311604,ENST00000381775,ENST00000405957,ENST00000406638,ENST00000417766,ENST00000429923,ENST00000432093,ENST00000446808,ENST00000457279,ENST00000612798
24	10	ENST00000312049,ENST00000315422,ENST00000377313,ENST00000377316,ENST00000377321,ENST00000377326,ENST00000394374,ENST00000394376,ENST00000440873,ENST00000450708
3	10	ENST00000312049,ENST00000315422,ENST00000377313,ENST00000377316,ENST00000377321,ENST00000377326,ENST00000394374,ENST00000440873,ENST00000450708,ENST00000672304
408	10	ENST00000312049,ENST00000315422,ENST00000377313,ENST00000377316,ENST00000377321,ENST00000377326,ENST00000394376,ENST00000440873,ENST00000450708,ENST00000672304
36	10	ENST00000312049,ENST00000315422,ENST00000377313,ENST00000377316,ENST00000377326,ENST00000413626,ENST00000440873,ENST00000450708,ENST00000672079,ENST00000672304
8	10	ENST00000312049,ENST00000315422,ENST00000377313,ENST00000377321,ENST00000377326,ENST00000394374,ENST00000440873,ENST00000450708,ENST00000672079,ENST00000672304
9	10	ENST00000313005,ENST00000392937,ENST00000428381,ENST00000445823,ENST00000510630,ENST00000510915,ENST00000513780,ENST00000514464,ENST00000680681,ENST00000680971
38	10	ENST00000313010,ENST00000393399,ENST00000528082,ENST00000531801,ENST00000532809,ENST00000534264,ENST00000679387,ENST00000679623,ENST00000680566,ENST00000681637
5	10	ENST00000313074,ENST00000377702,ENST00000411458,ENST00000438980,ENST00000536667,ENST00000538032,ENST00000539833,ENST00000539851,ENST00000543383,ENST00000546139
2	10	ENST00000313236,ENST00000354284,ENST00000359862,ENST00000411589,ENST00000442938,ENST00000524725,ENST00000525118,ENST00000533102,ENST00000533137,ENST00000533689
2	10	ENST00000313236,ENST00000354284,ENST00000359862,ENST00000411589,ENST00000442938,ENST00000524725,ENST00000525118,ENST00000533102,ENST00000533137,ENST00000534181
7	10	ENST00000313236,ENST00000354284,ENST00000359862,ENST00000411589,ENST00000442938,ENST00000524725,ENST00000528373,ENST00000532762,ENST00000533102,ENST00000533689
15	10	ENST00000313663,ENST00000334126,ENST00000539061,ENST00000679415,ENST00000680645,ENST00000680718,ENST00000680839,ENST00000681291,ENST00000681345,ENST00000681609
1	10	ENST00000316851,ENST00000401611,ENST00000531044,ENST00000615112,ENST00000615285,ENST00000618266,ENST00000619839,ENST00000621128,ENST00000621518,ENST00000621850
155	10	ENST00000318201,ENST00000343674,ENST00000421244,ENST00000454345,ENST00000456247,ENST00000524869,ENST00000524984,ENST00000527911,ENST00000528615,ENST00000532868
2	10	ENST00000318312,ENST00000393994,ENST00000419755,ENST00000525809,ENST00000526760,ENST00000527251,ENST00000532908,ENST00000533557,ENST00000533644,ENST00000630659
1	10	ENST00000318312,ENST00000393994,ENST00000455748,ENST00000525809,ENST00000526035,ENST00000526760,ENST00000532908,ENST00000533557,ENST00000533644,ENST00000630659
2	10	ENST00000318312,ENST00000419755,ENST00000455748,ENST00000524458,ENST00000525809,ENST00000526035,ENST00000526760,ENST00000532908,ENST00000533644,ENST00000630659
13	10	ENST00000318312,ENST00000419755,ENST00000524458,ENST00000525809,ENST00000526035,ENST00000526760,ENST00000532908,ENST00000533557,ENST00000533644,ENST00000630659
1	10	ENST00000318562,ENST00000524763,ENST00000526198,ENST00000526909,ENST00000530636,ENST00000531348,ENST00000533256,ENST00000533500,ENST00000614442,ENST00000650127
8	10	ENST00000318562,ENST00000524763,ENST00000526198,ENST00000530636,ENST00000531348,ENST00000533256,ENST00000533500,ENST00000534755,ENST00000614442,ENST00000650127
6	10	ENST00000320230,ENST00000481290,ENST00000528606,ENST00000529351,ENST00000531214,ENST00000531437,ENST00000532484,ENST00000625419,ENST00000627843,ENST00000628067
9	10	ENST00000321297,ENST00000435507,ENST00000535830,ENST00000537837,ENST00000538973,ENST00000540222,ENST00000541367,ENST00000541554,ENST00000541999,ENST00000544490
