counts	number of items in equivalence class	isoforms in equivalence class
5	1	ENST00000526546
8	1	ENST00000526549
1	1	ENST00000526555
1	1	ENST00000526559
956	1	ENST00000526562
1	1	ENST00000526578
2	1	ENST00000526583
2	1	ENST00000526592
5	1	ENST00000526593
20	1	ENST00000526596
1	1	ENST00000526600
9	1	ENST00000526608
70	1	ENST00000526629
17	1	ENST00000526630
3	1	ENST00000526640
2	1	ENST00000526659
3	1	ENST00000526669
23	1	ENST00000526686
5	1	ENST00000526696
4	1	ENST00000526731
2	1	ENST00000526761
6	1	ENST00000526776
2	1	ENST00000526783
84	1	ENST00000526785
1	1	ENST00000526787
16	1	ENST00000526794
2	1	ENST00000526811
2	1	ENST00000526822
2	1	ENST00000526827
5	1	ENST00000526852
1	1	ENST00000526854
12	1	ENST00000526856
9	1	ENST00000526870
3	1	ENST00000526873
1	1	ENST00000526876
5	1	ENST00000526883
6	1	ENST00000526898
1	1	ENST00000526909
22	1	ENST00000526975
2	1	ENST00000526986
4	1	ENST00000526993
